Block Type;96well;;;
Chemistry;SYBR_GREEN;;;
Experiment File Name;D:\Documents and Settings\INSTR-ADMIN\My Documents\LukaszL_qPCR\miRNA_2-1.eds;;;
Experiment Run End Time;2017-06-16 11:25:46 AM CEST;;;
Instrument Type;steponeplus;;;
Passive Reference;;;;
;;;;
Well;Cycle;Target Name;Rn;?Rn
B2;31;Target 1;44827,19531;1375,442627
B2;32;Target 1;45462,53125;2048,334717
B2;33;Target 1;46596,85156;3220,211182
B2;34;Target 1;48850,46875;5511,384766
B2;35;Target 1;53080,92188;9779,393555
B2;36;Target 1;62396,39063;19132,41797
B2;37;Target 1;79065,07813;35838,66406
B2;38;Target 1;107731,1641;64542,30469
B2;39;Target 1;151660,8594;108509,5547
B2;40;Target 1;208337;165223,25
B3;1;Target 1;35434,84375;566,0280151
B3;2;Target 1;35073,86719;145,2210388
B3;3;Target 1;35173,70703;185,2304382
B3;4;Target 1;35008,01172;-40,2953186
B3;5;Target 1;35180,76563;72,62814331
B3;6;Target 1;35282,40625;114,4383316
B3;7;Target 1;35156,08203;-71,71633148
B3;8;Target 1;35253,50781;-34,12099457
B3;9;Target 1;35280,40625;-67,0530014
B3;10;Target 1;35466,35156;59,06187057
B3;11;Target 1;35432,58203;-34,5381012
B3;12;Target 1;35478,78125;-48,16932297
B3;13;Target 1;35550,51172;-36,26929855
B3;14;Target 1;35541,17969;-105,4317703
B3;15;Target 1;35691,64063;-14,80127525
B3;16;Target 1;35758,61719;-7,655154705
B3;17;Target 1;35837,30469;11,20190334
B3;18;Target 1;35797,76563;-88,16760254
B3;19;Target 1;35786,84375;-158,9199219
B3;20;Target 1;35904,4375;-101,1566086
